,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300633,开立医疗,0.15,,1.76,8.9,0.17,5302.07,,,03-16
1,300631,久吾高科,0.62,,7.89,8.13,0.21,2984.74,,,03-09
2,002857,三晖电气,0.38,,3.55,11.07,-0.64,2263.12,,,03-08
3,603656,泰禾光电,1.04,,6.34,17.41,0.58,5914.67,,,03-07
4,603517,绝味食品,0.76,,3.77,21.39,1.37,27276.95,,,02-27
5,603817,海峡环保,0.19,0.0,2.65,7.34,,6333.74,0.41,,02-17
6,603178,圣龙股份,0.31,,2.48,13.21,0.63,4690.76,,,02-14
7,603839,安正时尚,0.81,1.25,,14.64,,17233.71,1.2,,02-13
8,603637,镇海股份,0.63,-3.08,,,,4857.97,-2.21,,02-07
9,300611,美力科技,0.48,-2.04,,8.41,,3238.12,4.08,,01-25
10,300615,欣天科技,0.74,7.25,,24.37,,4444.53,6.71,,01-25
11,300612,宣亚国际,0.51,27.5,,18.64,,2767.6,29.22,,01-25
12,603345,安井食品,0.79,51.92,,14.3,,12734.72,50.02,,01-24
13,603955,大千生态,,,,,,3978.7,14.81,,01-23
14,300608,思特奇,-0.1,-87.18,6.12,,-0.76,-498.85,-87.38,,01-20
15,603040,新坐标,0.74,5.71,,13.68,,3337.09,5.52,,01-19
16,300609,汇纳科技,0.25,92.31,,8.58,,1858.13,87.21,,01-18
17,002841,视源股份,1.64,80.22,3.02,62.29,2.08,59464.23,80.57,,01-18
18,300610,晨化股份,0.61,32.61,5.07,12.81,0.66,4568.25,34.26,,01-17
19,002848,高斯贝尔,0.26,168.46,,5.8,,3307.8,-11.27,,01-16
20,603677,奇精机械,1.02,5.15,,15.17,,6132.64,5.16,,01-16
21,603787,新日股份,0.52,,,14.99,1.65,7895.18,,,01-13
22,603626,科森科技,0.79,16.65,3.43,26.07,,12510.22,16.64,,01-13
23,300578,会畅通讯,0.52,,,18.71,,2781.21,,,01-12
24,300601,康泰生物,0.2,42.86,,10.87,,7440.24,44.82,,01-12
25,603690,至纯科技,0.23,210.81,1.82,13.49,0.15,3584.38,210.45,,01-12
26,300605,恒锋信息,0.38,-6.78,,11.58,,2380.88,-6.78,,01-12
27,603429,集友股份,0.65,,3.59,19.99,0.55,3331.15,,,01-10
28,603579,荣泰健康,2.67,61.82,,,,13991.97,61.23,,01-10
29,300606,金太阳,0.4,17.87,,12.53,,2704.59,17.87,,01-10
30,002847,盐津铺子,0.67,31.37,,22.42,,6203.77,33.25,,01-10
31,603177,德创环保,0.21,,,9.47,,3106.75,44.36,,01-10
32,002846,英联股份,0.43,22.86,,15.99,,3873.14,23.2,,01-10
33,603881,数据港,0.36,20.0,,15.56,,5691.37,18.26,,01-09
34,300598,诚迈科技,0.55,7.84,4.33,13.38,-0.07,3284.5,8.33,,01-09
35,300603,立昂技术,0.21,,3.24,6.82,,1637.89,22.1,,01-09
36,300602,飞荣达,1.01,13.48,,15.77,,7581.18,13.79,,01-09
37,603360,百傲化学,0.73,52.08,,18.29,,7260.08,50.76,,01-09
38,603877,太平鸟,0.57,-13.64,4.3,13.56,-0.04,23849.5,-13.34,,01-06
39,300600,瑞特股份,1.15,10.58,6.68,18.75,,8592.86,9.79,,01-06
40,603358,华达科技,1.67,34.68,9.75,18.11,2.02,20087.76,35.31,,01-05
41,002845,同兴达,0.56,-25.33,5.65,10.39,,4019.62,-25.65,,01-05
42,603228,景旺电子,1.14,26.67,,,,40965.62,26.67,,01-05
43,300597,吉大通信,0.2,0.0,,9.52,,3620.48,1.3,,01-04
44,300595,欧普康视,1.71,,,29.41,,8704.75,31.99,,01-04
45,300599,雄塑科技,0.32,18.52,2.79,11.45,0.06,7237.75,17.92,,01-03
46,603038,华立股份,1.47,47.0,,14.95,,7328.47,45.87,,12-30
47,603337,杰克股份,1.03,22.62,6.12,17.81,1.5,15984.14,22.09,,12-29
48,002843,泰嘉股份,0.27,-12.9,,7.41,,2871.24,-10.55,,12-29
49,603039,泛微网络,0.75,141.94,,15.07,,3744.85,138.44,,12-29
50,601212,白银有色,0.04,-820.0,,1.99,,22542.72,-817.37,,12-28
51,300592,华凯创意,0.31,210.0,,9.22,,2826.0,222.05,,12-28
52,300584,海辰药业,0.52,40.54,,,,3119.59,33.25,,12-28
53,300596,利安隆,0.82,30.16,,16.29,,7345.68,29.01,,12-28
54,300590,移为通信,0.96,-18.94,,38.0,,5768.84,-18.95,,12-27
55,603886,元祖股份,0.82,22.39,,,,14793.02,22.64,,12-27
56,300593,新雷能,0.43,16.22,,11.17,,3745.47,16.91,,12-23
57,603639,海利尔,,,,,,13826.92,13.13,,12-22
