,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002732,燕塘乳业,0.31,,,,,3622.28,,,12-04
1,603018,中设集团,0.89,,,10.68,-2.09,6946.34,,,10-10
2,603168,莎普爱思,0.92,12.2,,15.62,,4506.01,11.6,,08-27
3,603006,联明股份,0.54,,,11.26,,3237.88,,,08-26
4,300386,飞天诚信,1.02,,,22.16,-0.29,7621.56,,,08-26
5,300385,雪浪环境,0.42,,,8.36,0.42,2525.72,,,08-26
6,300371,汇中股份,0.17,,,7.87,0.06,1448.23,,,08-26
7,002727,一心堂,0.61,,,13.84,,11987.76,,,08-22
8,601579,会稽山,0.25,4.17,,8.81,-0.34,7624.3,4.47,,08-22
9,603099,长白山,-0.07,,,-3.51,-0.06,-1305.27,,,08-21
10,603306,华懋科技,0.4,,3.39,12.47,,4181.04,,,08-20
11,300392,腾信股份,0.71,,,12.37,,3398.84,,,08-20
12,603328,依顿电子,0.35,-12.5,,6.65,,13798.56,-13.36,,08-19
13,002726,龙大肉食,0.38,8.57,,7.42,,6155.22,7.64,,08-15
14,603609,禾丰牧业,0.18,,,5.31,-0.02,8484.58,,,08-07
15,603369,今世缘,1.09,,,24.99,,48842.39,,,08-07
16,603100,川仪股份,0.24,,,6.33,-0.72,7076.83,,,08-04
17,300391,康跃科技,0.33,,,9.23,0.03,1667.57,,,07-31
18,300384,三联虹普,0.76,,,16.23,2.2,3044.99,,,07-31
19,300389,艾比森,0.77,,,16.8,1.11,4838.37,,,07-31
20,603111,康尼机电,0.23,,,13.04,-0.25,5004.6,,,07-31
21,603126,中材节能,0.14,,,4.72,0.26,4552.69,,,07-30
22,300390,天华超净,0.27,,,9.55,0.3,1684.39,,,07-30
23,600919,江苏银行,,,,,,425116.0,,,07-17
24,603009,北特科技,0.23,,,8.28,0.06,1802.0,,,07-17
25,300387,富邦股份,0.57,,,11.15,-0.24,2731.15,,,07-01
26,600926,杭州银行,,,,,,202434.0,,,05-16
27,603026,石大胜华,0.34,,,,,5233.25,,,04-28
28,300632,光莆股份,0.12,,1.95,6.28,0.04,1033.16,,,01-22
29,603288,海天味业,1.22,,5.31,24.0,-0.49,86388.75,,,01-15
30,300383,光环新网,0.7,,5.95,12.23,0.93,3203.2,,,01-10
31,002721,金一文化,0.76,,4.17,19.5,-0.34,10802.36,,,01-09
32,300381,溢多利,0.71,,6.64,10.83,0.64,2770.6,,,01-09
33,002714,牧原股份,0.36,,,7.35,-0.56,7557.75,,,01-09
34,002719,麦趣尔,0.2,,3.58,5.87,0.08,1601.58,,,01-09
35,300380,安硕信息,0.25,,3.18,8.02,-0.35,1506.09,,,01-09
36,603005,晶方科技,0.38,,3.53,10.45,0.45,7243.36,,,01-09
37,002718,友邦吊顶,0.67,,5.0,14.06,0.83,3014.37,,,01-09
38,300379,东方通,0.31,,3.79,8.56,0.33,1400.08,,,01-09
39,002725,跃岭股份,0.71,,,13.04,1.02,5343.3,,,01-09
40,002723,金莱特,0.3,,4.73,6.62,0.17,2120.81,,,01-09
41,002722,金轮股份,0.26,,3.19,8.41,0.04,2720.98,,,01-09
42,300382,斯莱克,1.07,,5.85,20.2,1.28,4931.93,,,01-09
43,603688,石英股份,0.25,,4.44,5.88,0.14,4253.58,,,01-08
44,002717,岭南园林,0.62,,5.01,13.14,-0.5,4635.16,,,01-08
45,300378,鼎捷软件,0.51,,6.5,8.02,-0.41,4562.85,,,01-08
46,601225,陕西煤业,0.3,,3.36,8.7,0.33,270315.1,,,01-08
47,002716,金贵银业,0.42,,5.56,7.84,3.46,7352.49,,,01-08
48,300377,赢时胜,0.11,,3.62,2.96,-0.35,476.28,,,01-08
49,002715,登云股份,0.26,,3.92,6.81,-0.01,1823.9,,,01-08
50,300375,鹏翎股份,0.75,,7.23,10.92,0.44,5758.68,,,01-07
51,002713,东易日盛,0.17,,3.25,5.07,2.14,1710.68,,,01-07
52,603555,贵人鸟,0.33,,2.28,13.99,0.29,17397.74,,,01-07
53,300376,易事特,0.83,,8.59,10.17,0.61,6488.44,,,01-07
54,300369,绿盟科技,0.13,,4.9,2.75,-1.43,998.46,,,01-06
55,300368,汇金股份,0.37,,5.52,6.98,-0.31,1860.16,,,01-06
56,300373,扬杰科技,0.65,,4.78,14.49,0.32,4459.2,,,01-06
57,300367,东方网力,0.36,,5.38,6.93,-2.64,1891.7,,,01-06
58,002712,思美传媒,0.51,,6.35,8.35,-1.22,3710.71,,,01-06
59,300372,欣泰电气,0.33,,5.23,6.44,-0.78,2283.54,,,01-06
60,300366,创意信息,0.37,,3.93,9.83,-1.27,1840.05,,,01-06
61,002711,欧浦智网,0.48,,4.76,10.74,,5728.58,,,01-06
62,002709,天赐材料,0.34,17.24,,6.88,0.11,3396.82,17.25,,01-03
63,300363,博腾股份,0.57,,3.95,15.52,0.74,5511.9,,,01-03
64,002708,光洋股份,0.27,,,5.87,0.01,2710.48,,,01-03
65,603308,应流股份,0.28,,3.34,8.76,0.5,8964.87,,,01-03
66,300365,恒华科技,0.32,,4.56,7.28,-0.76,1343.78,,,01-03
67,002707,众信旅游,0.61,,4.6,14.19,1.42,3106.75,,,01-02
68,300360,炬华科技,1.09,,,19.51,0.89,8179.82,,,01-02
69,002706,良信电器,0.62,,5.2,12.77,0.63,4035.56,,,01-02
70,300357,我武生物,0.35,,2.37,16.0,0.32,3152.98,,,12-31
71,603699,纽威股份,0.3,,1.77,18.75,0.12,21293.23,,,12-31
72,300359,全通教育,0.43,,3.31,13.38,0.25,2562.7,,,12-31
73,002705,新宝股份,0.21,,3.29,6.31,0.52,7618.78,,,12-31
74,300358,楚天科技,0.99,,5.84,18.44,1.14,6506.29,,,12-31
75,600958,东方证券,0.12,-7.69,,3.44,,52118.56,-5.51,,10-15
76,600023,浙能电力,0.37,,3.36,10.49,0.78,293629.32,,,10-01
77,601198,东兴证券,0.18,,,,,36649.09,,,09-18
78,000333,美的集团,2.65,,16.91,16.95,3.57,264683.46,52.01,,09-12
79,603225,新凤鸣,0.16,,,,,3786.03,,,09-03
80,601881,中国银河,0.15,7.14,,,,96769.1,11.77,,09-02
81,600381,青海春天,-0.89,3201.85,,,,-143339.54,3206.13,,08-31
82,600120,浙江东方,0.53,8.16,,7.15,,26879.13,7.64,,08-31
83,600887,伊利股份,0.95,97.92,,14.05,,173796.61,128.22,,08-31
84,600571,信雅达,0.15,38.53,,5.21,,3065.72,38.9,,08-31
85,000616,海航投资,0.13,-27.78,,4.78,,19017.06,-9.53,,08-31
86,600696,*ST匹凸,0.07,325.0,,4.41,,2325.16,321.76,,08-31
87,600730,中国高科,-0.04,-36.46,,-1.7,,-1293.04,-36.46,,08-31
