,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002602,世纪华通,0.31,,,,-0.03,3972.87,,,07-27
1,300245,天玑科技,0.15,,,11.06,-0.08,841.22,,,07-18
2,300244,迪安诊断,0.32,,,,-0.59,698.13,,,07-18
3,002601,龙蟒佰利,0.36,,,,0.56,2507.14,,,07-14
4,002600,江粉磁材,0.06,,,,-0.05,1229.4,,,07-14
5,300243,瑞丰高材,0.21,,,,-0.12,823.95,,,07-11
6,300242,明家联合,0.03,,,,-0.15,182.57,,,07-11
7,300241,瑞丰光电,0.16,,,3.56,0.3,552.31,,,07-11
8,002596,海南瑞泽,0.1,,,,-0.08,1012.48,,,07-06
9,002598,山东章鼓,0.09,,,,0.15,1057.0,,,07-06
10,002597,金禾实业,0.32,,,,-0.39,2537.31,,,07-06
11,300240,飞力达,0.12,,,5.61,-0.03,962.87,,,07-05
12,300239,东宝生物,0.06,,,,-0.03,331.98,,,07-05
13,300238,冠昊生物,0.04,,,,-0.1,172.02,,,07-05
14,002594,比亚迪,0.75,,,,1.25,170412.7,,,06-29
15,300237,美晨科技,0.5,,,,0.14,2146.19,,,06-28
16,300236,上海新阳,0.07,,,,0.07,475.19,,,06-28
17,300235,方直科技,0.15,,,,-0.08,496.37,,,06-28
18,002595,豪迈科技,0.2,,,,0.27,3070.08,,,06-27
19,002593,日上集团,0.07,,,,-0.14,1276.34,,,06-27
20,300232,洲明科技,0.15,,,,0.02,887.15,,,06-21
21,300234,开尔新材,0.13,,,,0.14,806.37,,,06-21
22,300233,金城医药,0.25,,,,-0.08,2221.11,,,06-21
23,002591,恒大高新,0.1,,,,-0.08,609.52,,,06-20
24,300231,银信科技,0.09,,,,-0.62,255.81,,,06-14
25,300230,永利股份,0.1,,,4.79,0.02,671.54,,,06-14
26,300229,拓尔思,0.03,,,,-0.12,258.74,,,06-14
27,002590,万安科技,0.29,,,,0.43,2029.48,,,06-09
28,002589,瑞康医药,0.16,,,4.67,-0.87,1118.16,,,06-09
29,002588,史丹利,0.11,,,,-3.96,1073.14,,,06-09
30,002587,奥拓电子,0.0,,,,0.1,26.7,,,06-09
31,300227,光韵达,0.05,,,2.88,0.08,264.86,,,06-07
32,300226,上海钢联,0.23,,,,0.26,716.18,,,06-07
33,300228,富瑞特装,0.11,,,,-1.76,574.2,,,06-07
34,002584,西陇科学,0.1,,,4.42,-0.11,1428.82,,,06-01
35,002586,围海股份,0.09,,,,-0.96,749.89,,,06-01
36,002585,双星新材,0.19,,,,0.23,2798.04,,,06-01
37,300225,金力泰,0.53,,,15.04,0.3,2644.7,,,05-30
38,300224,正海磁材,0.21,,,13.14,-0.23,2492.01,,,05-30
39,300223,北京君正,0.35,,,,0.42,2052.21,,,05-30
40,002583,海能达,0.01,,,1.0,-0.04,211.26,,,05-26
41,300221,银禧科技,0.15,,,6.85,,1088.92,,,05-24
42,300220,金运激光,0.16,,,9.41,-0.15,426.65,,,05-24
43,300222,科大智能,-0.02,,,,-0.2,-106.64,,,05-24
44,002582,好想你,0.54,,,,1.69,2978.67,,,05-19
45,002581,未名医药,0.25,,,,0.45,2020.2,,,05-19
46,300219,鸿利智汇,0.15,,,,-0.18,1342.36,,,05-17
47,300218,安利股份,0.13,,,,-0.63,1092.54,,,05-17
48,300217,东方电热,0.25,,,8.2,0.07,1642.67,,,05-17
49,300216,千山药机,0.12,,,4.29,,590.29,,,05-10
50,300215,电科院,0.31,,,,0.61,1032.21,,,05-10
51,300214,日科化学,0.13,,,,-0.45,1264.71,,,05-10
52,002579,中京电子,0.11,,,,0.14,809.57,,,05-05
53,002580,圣阳股份,0.1,,,,-0.36,493.3,,,05-05
54,300213,佳讯飞鸿,,,,,,65.05,,,05-04
55,601818,光大银行,0.11,,,7.65,-1.76,383289.2,,,04-30
56,300197,铁汉生态,0.29,,,,,1335.23,,,04-29
57,601377,兴业证券,0.09,,,,,16979.04,,,04-27
58,002500,山西证券,0.03,,,1.83,-0.9,5789.09,,,04-27
59,002546,新联电子,0.05,,,2.28,-0.46,340.89,,,04-08
60,601908,京运通,,,,,,3910.0,,,11-05
61,300139,晓程科技,0.22,,4.82,4.69,-0.94,907.99,,,10-22
62,300164,通源石油,,,,,,-1626.95,,,10-14
63,601012,隆基股份,,,,,,4823.24,,,10-14
64,300154,瑞凌股份,0.2,,2.15,9.83,0.36,1691.52,,,09-25
65,601992,金隅股份,,,,,,24676.04,,,09-17
66,300401,花园生物,0.49,,3.06,17.29,0.73,3313.33,,,08-27
67,300121,阳谷华泰,0.18,,2.36,7.83,0.15,800.78,,,08-27
68,603569,长久物流,,,,,,1426.87,,,08-12
69,002464,金利科技,0.14,,1.84,8.02,0.24,1422.85,,,08-10
70,300109,新开源,0.22,,2.52,9.08,0.34,591.26,,,08-03
71,002456,欧菲光,0.13,30.0,3.54,,-0.25,947.17,37.93,,08-02
72,300095,华伍股份,0.3,-6.25,3.94,,0.7,1697.35,-8.16,,07-27
73,002454,松芝股份,0.33,230.0,2.89,,0.07,5882.13,219.35,,07-19
74,002414,高德红外,0.08,14.29,2.1,,-0.07,1883.23,16.45,,07-15
75,002449,国星光电,0.2,53.85,2.8,,-0.1,3205.49,52.51,,07-15
76,002444,巨星科技,0.3,15.38,3.32,9.38,0.64,5646.27,12.88,,07-12
