,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603611,诺力股份,0.96,,,,,5785.64,,,01-27
1,603558,健盛集团,0.96,,,,,5783.9,,,01-26
2,601069,西部黄金,,,,,,5689.83,,,01-21
3,603698,航天工程,0.48,,,20.08,,15987.69,,,01-07
4,603678,火炬电子,0.61,,,17.44,,7666.38,,,01-06
5,300418,昆仑万维,0.59,,,16.21,,12335.04,,,01-06
6,300417,南华仪器,0.53,,,11.7,,1621.63,,,01-06
7,300413,快乐购,0.36,,,16.31,,12058.08,,,01-06
8,002740,爱迪尔,,,,,,6959.77,,,01-06
9,603686,龙马环卫,0.71,,,21.6,,7141.49,,,01-06
10,002734,利民股份,,,,,,3747.36,,,01-06
11,300364,中文在线,,,,,,1025.12,,,01-06
12,002739,万达院线,,,,,,48702.29,,,01-06
13,603601,再升科技,0.43,,,14.36,,2196.3,,,01-06
14,603889,新澳股份,1.07,,,,,8570.32,,,12-30
15,300412,迦南科技,,,,,,2366.42,,,12-30
16,300411,金盾股份,0.46,,,16.55,-0.92,3705.92,,,12-30
17,002738,中矿资源,0.35,,,7.65,0.06,3113.94,,,12-29
18,603588,高能环境,0.43,,,,-1.56,5182.93,,,12-26
19,002736,国信证券,0.25,,,9.02,-1.38,177609.41,18.07,,12-26
20,300410,正业科技,0.53,,,11.82,0.13,2364.88,,,12-11
21,603017,中衡设计,1.18,,,,,5317.36,,,12-11
22,603636,南威软件,,,,,,2722.71,,,12-11
23,601021,春秋航空,2.1,,,21.81,,63122.0,,,12-11
24,002737,葵花药业,,,,,,18921.45,,,12-11
25,603788,宁波高发,0.55,,,25.21,,5634.67,,,12-11
26,601969,海南矿业,0.47,,,27.08,0.3,78554.91,,,12-08
27,002732,燕塘乳业,0.48,,,19.63,0.43,5704.29,,,12-04
28,603998,方盛制药,0.64,,,16.43,0.83,5256.66,,,12-04
29,603518,维格娜丝,0.76,,4.61,20.18,,8482.21,,,12-02
30,603166,福达股份,0.22,,,12.79,0.36,8615.28,,,11-26
31,002733,雄韬股份,0.53,,,9.51,,5400.89,,,11-14
32,300408,三环集团,,,,,,40859.94,,,11-14
33,300407,凯发电气,,,,9.49,,2749.36,,,11-14
34,603368,柳州医药,1.25,,,,,11232.35,,,11-14
35,601226,华电重工,0.42,,,17.44,,26126.11,,,11-14
36,002735,王子新材,,,,,,2982.42,,,11-14
37,603088,宁波精达,0.39,,,8.37,0.33,2326.43,,,11-10
38,603011,合锻智能,0.18,,,6.94,-0.55,2466.61,,,11-06
39,603019,中科曙光,0.09,,,2.6,-1.17,1917.54,,,11-05
40,601015,陕西黑猫,0.25,,,6.82,0.18,12579.12,,,11-04
41,603988,中电电机,0.68,,,16.53,0.46,4101.59,,,11-03
42,002731,萃华珠宝,0.39,,,10.1,1.62,4388.58,,,11-03
43,002724,海洋王,0.26,,,10.07,0.06,9182.52,,,11-03
44,603609,禾丰牧业,0.21,,,6.32,,10133.58,,,10-31
45,603100,川仪股份,0.38,,,9.87,,11104.26,,,10-31
46,603328,依顿电子,0.59,,,11.1,,23561.91,,,10-30
47,603006,联明股份,0.82,,,16.54,,4894.08,,,10-30
48,300402,宝色股份,0.28,,,,,4167.14,,,10-30
49,600917,重庆燃气,0.17,,,7.96,,23703.06,,,10-30
50,603806,福斯特,1.19,,,23.2,,40703.65,,,10-30
51,600023,浙能电力,0.46,,,17.25,,485558.14,,,10-30
52,603126,中材节能,0.27,,,7.87,,8851.44,,,10-29
53,603169,兰石重装,0.07,,,4.47,,3257.47,,,10-29
54,300406,九强生物,1.31,,,30.55,0.65,13107.35,,,10-29
55,603606,东方电缆,0.33,,,7.47,,3667.68,,,10-29
56,300405,科隆精化,0.7,,,11.97,-0.28,3585.56,,,10-29
57,300403,地尔汉宇,0.82,,,22.07,0.63,8212.8,,,10-29
58,002728,特一药业,0.84,,,,,6322.48,,,10-28
59,603188,亚邦股份,0.81,,,21.62,0.19,17477.97,,,10-28
60,300384,三联虹普,1.24,,,,,4978.28,,,10-28
61,300389,艾比森,1.32,,,,,8341.54,,,10-28
62,603168,莎普爱思,1.49,,,24.54,,7281.8,,,10-28
63,601016,节能风电,0.08,,,4.46,,11921.33,,,10-28
64,002730,电光科技,0.4,,,,,4368.23,,,10-28
65,603009,北特科技,0.34,,,12.0,,2753.34,,,10-28
66,300398,飞凯材料,0.91,,,,,5450.27,,,10-28
67,603018,中设集团,1.01,,,12.94,,7843.41,,,10-28
68,300385,雪浪环境,0.54,,,,,3260.86,,,10-27
69,300399,京天利,0.33,,,,,1978.38,,,10-27
70,002729,好利来,0.63,,,,,3168.99,,,10-27
71,603099,长白山,0.38,,,18.45,,7675.57,,,10-25
72,300363,博腾股份,0.99,,,,,9618.9,,,10-25
73,601579,会稽山,0.26,,,9.13,,7915.13,,,10-25
74,300386,飞天诚信,1.69,,,,,12668.32,,,10-25
75,300397,天和防务,0.14,,,,,1284.15,,,10-24
76,300396,迪瑞医疗,1.46,,,,,6709.16,,,10-24
77,603306,华懋科技,0.46,,,18.63,,6443.95,,,10-24
78,300400,劲拓股份,0.34,,,,,2052.63,,,10-24
79,300392,腾信股份,1.07,,,,,5138.83,,,10-24
80,300390,天华超净,0.44,,,,,2732.54,,,10-23
81,002727,一心堂,0.89,,,,,17457.95,,,10-23
82,300401,花园生物,0.31,,,,,2081.86,,,10-23
83,603010,万盛股份,0.59,,,19.14,,4398.56,,,10-23
84,603111,康尼机电,0.32,,,17.45,,6859.41,,,10-23
85,300387,富邦股份,0.76,,,,,3629.25,,,10-23
86,603456,九洲药业,0.76,,,18.71,,11808.6,,,10-23
87,300391,康跃科技,0.41,,,,,2045.59,,,10-22
88,002726,龙大肉食,0.57,,,,,9397.63,,,10-22
89,300395,菲利华,0.93,,,,,4483.33,,,10-22
90,603369,今世缘,1.33,,,29.65,,59938.25,,,10-21
91,300393,中来股份,0.73,,,,,7043.47,,,10-17
92,603026,石大胜华,,,,,,7477.28,,,04-28
93,603288,海天味业,1.7,,,,,120527.89,,,01-15
94,002797,第一创业,,,,,,16100.0,3.91,,01-13
95,300383,光环新网,,,,,,4834.81,,,01-10
96,300380,安硕信息,0.29,,,9.11,,1762.94,,,01-09
97,002722,金轮股份,0.36,,,11.43,,3727.17,,,01-09
98,603005,晶方科技,0.6,,3.75,16.3,,11302.56,,,01-09
99,300379,东方通,,,,,,747.2,,,01-09
100,002721,金一文化,0.47,,,12.59,,6658.22,,,01-09
101,002714,牧原股份,0.7,,,,,14737.61,,,01-09
102,002719,麦趣尔,,,,,,4637.27,,,01-09
103,002725,跃岭股份,,,,,,7800.4,,,01-09
104,002718,友邦吊顶,,,,,,5150.57,,,01-09
105,300382,斯莱克,1.5,,,24.73,,6920.74,,,01-09
106,300381,溢多利,,,,,,4810.33,,,01-09
107,002723,金莱特,0.47,,,,,3279.77,,,01-09
108,002716,金贵银业,0.62,,,11.35,,10836.42,,,01-08
109,002715,登云股份,0.35,,,,,2430.9,,,01-08
110,300378,鼎捷软件,,,,,,4792.91,,,01-08
111,603688,石英股份,0.33,,,,,5506.53,,,01-08
112,300377,赢时胜,0.13,,,3.66,,590.07,,,01-08
113,601225,陕西煤业,,,,,,319082.71,,,01-08
114,002717,岭南园林,,,,,,7386.6,,,01-08
115,300375,鹏翎股份,,,,,,,,,01-07
116,603555,贵人鸟,,,,,,24887.1,,,01-07
117,002713,东易日盛,0.22,,,6.51,2.59,2210.0,,,01-07
118,300376,易事特,,,,,,10443.55,,,01-07
119,002711,欧浦智网,,,,,,8456.36,,,01-06
120,300368,汇金股份,,,,,,2559.37,,,01-06
121,300373,扬杰科技,1.05,,,22.46,,7220.53,,,01-06
122,300367,东方网力,0.7,,,13.02,,3669.22,,,01-06
123,300372,欣泰电气,0.48,,,,,3325.35,,,01-06
124,300366,创意信息,0.41,,,11.0,,2072.38,,,01-06
125,300371,汇中股份,0.8,,3.82,17.26,0.5,3340.43,,,01-06
126,300370,安控科技,0.28,,,,,1234.46,,,01-06
127,002712,思美传媒,,,,,,4620.38,,,01-06
128,300369,绿盟科技,,,,,,1854.0,,,01-06
129,002709,天赐材料,0.53,-12.45,,,,5263.62,-7.91,,01-03
130,603308,应流股份,,,,,,11315.32,,,01-03
131,002708,光洋股份,0.34,,,7.22,0.15,3359.44,,,01-03
132,300365,恒华科技,,,,,,1912.44,,,01-03
133,000166,申万宏源,0.21,40.0,,7.74,,140528.87,36.2,,01-02
134,300360,炬华科技,,,,,,12074.35,,,01-02
135,002707,众信旅游,,,,,,7557.81,,,01-02
136,002706,良信电器,0.94,,,18.6,,6068.92,,,01-02
137,300357,我武生物,,,,,,5608.48,,,12-31
138,603699,纽威股份,,,,,,35372.68,,,12-31
139,300359,全通教育,,,,,,2688.55,,,12-31
140,300358,楚天科技,1.48,,,,,9791.98,,,12-31
141,002705,新宝股份,,,,,,14532.46,,,12-31
142,000902,新洋丰,-0.15,35.19,,-19.77,,-3757.23,34.58,,10-31
143,600170,上海建工,0.41,-10.87,,9.29,,113068.64,5.43,,10-31
144,600973,宝胜股份,0.24,-9.61,,3.98,,7782.35,16.56,,10-31
145,000517,荣安地产,0.28,148.64,,10.18,,30059.8,148.7,,10-31
146,600690,青岛海尔,1.28,24.81,,27.7,,345780.76,25.21,,10-31
147,600317,营口港,0.2,17.3,,4.6,,43740.62,17.3,,10-31
148,600335,国机汽车,0.96,63.53,6.04,17.07,,53869.43,63.54,,10-31
149,600724,宁波富达,0.21,-15.24,,8.32,,30213.47,-15.27,,10-31
150,600356,恒丰纸业,0.19,-35.35,,3.14,,4479.83,-33.63,,10-31
151,000709,河钢股份,0.01,-63.33,,0.27,,11692.12,-68.17,,10-31
152,600757,长江传媒,0.28,21.74,,9.47,,29243.87,23.46,,10-31
153,000756,新华制药,0.08,14.29,,2.01,,3523.3,9.68,,10-31
154,600416,湘电股份,0.03,200.0,,0.8,,1659.92,221.42,,10-31
155,600793,宜宾纸业,0.01,3.41,,3.66,,95.38,3.4,,10-31
156,600810,神马股份,-0.01,-97.5,,-0.23,,-529.99,-97.0,,10-31
157,600827,百联股份,0.53,-8.62,,7.3,,90983.71,-8.71,,10-31
158,600869,智慧能源,0.16,-300.0,,5.57,,16205.24,-316.73,,10-31
159,600158,中体产业,0.09,91.41,,5.96,,7897.38,91.57,,10-31
160,600551,时代出版,0.5,9.32,,7.92,,25510.68,9.34,,10-31
161,000927,一汽夏利,-0.06,-219.39,,-2.74,,-9929.77,-219.37,,10-31
162,000503,海虹控股,0.0,-41.03,,0.16,,206.25,-41.63,,10-31
163,600587,新华医疗,0.94,32.39,,10.4,,16896.95,45.04,,10-31
164,600641,万业企业,0.17,1365.55,,5.45,,14060.3,1371.39,,10-31
165,002024,苏宁云商,0.08,-75.91,,2.19,,62549.4,-73.41,,10-31
166,601601,中国太保,0.89,147.22,11.13,8.2,4.17,808100.0,157.77,,10-31
167,600713,南京医药,0.03,2900.0,,2.05,,2057.91,1926.58,,10-31
168,000693,*ST华泽,0.09,-142.86,,4.43,,4778.73,-219.95,,10-31
169,600000,浦发银行,1.6,14.13,10.49,15.93,14.61,2981800.0,14.13,,10-31
170,600798,宁波海运,-0.02,-84.06,,-0.75,,-1434.07,-84.1,,10-31
