,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,601688,华泰证券,,,,,,-14302.29,,,09-06
1,601166,兴业银行,,,2.67,,-3.75,59366.07,,,03-27
2,000035,中国天楹,,,-10.89,,,-329.82,-131.14,,08-15
3,000596,古井贡酒,,,3.78,,,-1516.32,-264.26,,06-30
4,600635,大众公用,,,3.11,,,2504.36,-2.18,,06-30
5,000620,新华联,,,0.31,,,-5802.1,-3239.57,,06-22
6,600136,当代明诚,,,0.13,,,-877.07,81.35,,04-30
7,600175,美都能源,,,4.42,,,337.28,338.58,,04-30
8,601607,上海医药,,,3.78,,,3184.63,-26.76,,04-30
9,000034,神州数码,,,-0.73,,,-1576.04,-50.72,,04-30
10,600678,四川金顶,,,1.43,,,65.54,-68.33,,04-30
11,600339,*ST油工,,,2.1,,,1638.93,-26.55,,04-30
12,600019,宝钢股份,,,3.59,,,307293.92,20.69,,04-30
13,002032,苏泊尔,,,5.03,,,1442.58,,,04-30
14,000665,湖北广电,,,1.94,,,77.0,-85.09,,04-30
15,600234,ST山水,,,-4.05,,,-2644.21,-1998.94,,04-30
16,600626,申达股份,,,4.36,,,1703.13,-17.3,,04-30
17,600645,中源协和,,,0.88,,,-495.59,-10.22,,04-30
18,600272,开开实业,,,0.49,,,260.48,-11.92,,04-30
19,600699,均胜电子,,,2.44,,,128.53,-74.85,,04-30
20,600481,双良节能,,,3.05,,,934.52,-43.07,,04-30
21,600862,中航高科,,,0.63,,,110.43,-120.44,,04-30
22,600129,太极集团,,,3.89,,,1662.3,1.11,,04-30
23,000717,韶钢松山,,,6.24,,,21065.71,-24.13,,04-30
24,600895,张江高科,,,2.11,,,1301.51,6.73,,04-30
25,600186,莲花健康,,,2.19,,,120.22,-103.01,,04-30
26,600614,鹏起科技,,,0.69,,,-2050.78,-1165.65,,04-30
27,600239,云南城投,,,1.81,,,-39.31,-48.33,,04-30
28,600634,富控互动,,,2.31,,,487.09,-225.88,,04-30
29,600259,广晟有色,,,1.52,,,-3811.78,-20022.2,,04-30
30,000301,东方市场,,,2.87,,,328.68,-79.26,,04-30
31,600773,西藏城投,,,1.24,,,-329.33,-277.95,,04-30
32,600077,宋都股份,,,2.31,,,66.19,-111.75,,04-30
33,600825,新华传媒,,,4.61,,,572.6,-6.46,,04-30
34,000677,恒天海龙,,,1.72,,,1450.82,-53.17,,04-30
35,600191,华资实业,,,4.21,,,1665.28,-17.4,,04-30
36,000839,中信国安,,,4.53,,,5104.09,6.24,,04-30
37,000056,皇庭国际,,,0.47,,,102.77,88.91,,04-30
38,600657,信达地产,,,1.52,,,-2460.39,30.9,,04-30
39,600283,钱江水利,,,3.13,,,192.14,-137.08,,04-30
40,600677,航天通信,,,1.64,,,75.63,15.17,,04-30
41,600302,标准股份,,,2.92,,,4141.26,-13.34,,04-30
42,600830,香溢融通,,,2.01,,,351.38,6.95,,04-30
43,600122,宏图高科,,,3.18,,,52.74,45.66,,04-30
44,600179,安通控股,,,2.6,,,350.25,-47.24,,04-30
45,600624,复旦复华,,,1.76,,,424.15,26.29,,04-30
46,000038,深大通,,,1.37,,,4.49,-95.51,,04-30
47,000555,神州信息,,,-0.49,,,-146.2,-57.93,,04-30
48,000638,万方发展,,,-2.55,,,19.72,-116.63,,04-30
49,600499,科达洁能,,,4.57,,,1214.9,-5.94,,04-30
50,600221,海南航空,,,1.98,,,1368.87,-73.59,,04-30
51,600238,海南椰岛,,,2.96,,,722.69,22.49,,04-30
52,600633,浙数文化,,,1.34,,,-330.27,-252.04,,04-30
53,600721,百花村,,,1.41,,,-979.48,-264.63,,04-30
54,000561,烽火电子,,,-1.57,,,55.43,-57.91,,04-30
55,600111,北方稀土,,,2.79,,,222.72,-56.01,,04-30
56,600883,博闻科技,,,1.33,,,266.11,25.88,,04-30
57,600638,新黄浦,,,3.99,,,1477.13,44.54,,04-30
58,000403,ST生化,,,2.51,,,-833.44,-3740.82,,04-30
59,600359,新农开发,,,3.68,,,1479.23,-58.1,,04-30
60,000999,华润三九,,,2.21,,,5018.66,199.95,,04-30
61,000592,平潭发展,,,-0.46,,,-402.2,-12.03,,04-30
62,600419,天润乳业,,,3.52,,,63.9,172.37,,04-30
63,000631,顺发恒业,,,0.21,,,-1560.67,7.14,,04-30
64,600139,西部资源,,,1.45,,,-88.46,-549.5,,04-30
65,600215,长春经开,,,6.22,,,148.34,-42.78,,04-30
66,600643,爱建集团,,,3.38,,,1511.02,-39.01,,04-30
67,600681,百川能源,,,-2.28,,,-427.5,102.66,,04-30
68,600307,酒钢宏兴,,,5.06,,,22218.76,0.86,,04-30
69,000517,荣安地产,,,3.09,,,78.3,-66.97,,04-30
70,600345,长江通信,,,4.72,,,443.94,-23.75,,04-30
71,000598,兴蓉环境,,,3.7,,,125.2,-77.18,,04-30
72,000637,茂化实华,,,1.7,,,-2208.73,-178.67,,04-30
73,000693,*ST华泽,,,1.88,,,-2366.15,-675.4,,04-30
74,600148,长春一东,,,2.01,,,41.1,-91.66,,04-30
75,000007,全新好,,,0.63,,,1434.64,-225.78,,04-30
76,600220,江苏阳光,,,2.45,,,926.72,-81.67,,04-30
77,600257,大湖股份,,,3.45,,,636.15,-16.72,,04-30
78,600686,金龙汽车,,,3.18,,,1630.27,17.65,,04-30
79,000971,高升控股,,,2.5,,,306.59,-36.65,,04-30
80,600770,综艺股份,,,2.26,,,404.41,-31.95,,04-30
81,600058,五矿发展,,,3.63,,,23231.81,25.4,,04-30
82,600503,华丽家族,,,0.89,,,-465.12,-48.67,,04-30
83,600153,建发股份,,,4.32,,,5589.45,0.68,,04-30
84,600171,上海贝岭,,,2.89,,,1582.51,45.16,,04-30
85,600617,国新能源,,,0.09,,,114.18,-115.55,,04-30
86,600242,中昌数据,,,1.98,,,-2184.42,-2690.02,,04-30
87,600654,*ST中安,,,1.96,,,874.56,9.19,,04-30
88,600300,维维股份,,,4.42,,,3867.28,1.4,,04-30
89,000529,广弘控股,,,-0.16,,,-3824.18,-5446.51,,04-30
90,600776,东方通信,,,3.84,,,702.38,-76.98,,04-30
91,002029,七匹狼,,,3.68,,,1298.92,,,04-30
92,600811,东方集团,,,4.04,,,1893.66,7.04,,04-30
93,600828,茂业商业,,,2.09,,,129.24,-47.4,,04-30
94,600515,海航基础,,,0.33,,,-348.8,-128.53,,04-30
95,000708,大冶特钢,,,1.96,,,128.74,-84.58,,04-30
96,600159,大龙地产,,,0.88,,,-521.41,-73.17,,04-30
97,000782,美达股份,,,2.68,,,456.03,-23.2,,04-30
98,600195,中牧股份,,,2.28,,,2630.76,-34.24,,04-30
99,600588,用友网络,,,8.11,,,2123.28,3.68,,04-30
100,600605,汇通能源,,,1.53,,,180.34,26.18,,04-30
101,600661,新南洋,,,2.12,,,167.82,27.9,,04-30
102,600680,*ST上普,,,2.12,,,107.87,23.92,,04-30
103,000409,山东地矿,,,0.63,,,-306.36,92.86,,04-30
104,000429,粤高速A,,,2.84,2.25,,8254.83,61.25,,04-30
105,600085,同仁堂,,,6.14,,,7902.67,8.08,,04-30
106,600104,上汽集团,,,3.52,,,15160.21,-78.67,,04-30
107,000732,泰禾集团,,,2.03,,,400.44,-312.9,,04-30
108,600988,赤峰黄金,,,3.57,,,-283.51,-399.24,,04-30
109,600329,中新药业,,,4.41,,,2442.14,0.92,,04-30
110,000540,中天金融,,,1.02,,,43.47,-86.95,,04-30
111,600369,西南证券,,,2.22,,,-1696.42,-8.36,,04-30
112,600751,天海投资,,,0.15,,,599.49,56.19,,04-30
113,002023,海特高新,,,5.34,,,465.76,,,04-30
114,600074,保千里,,,3.56,,,1709.79,-42.02,,04-30
115,600109,国金证券,,,2.91,,,3.99,-98.88,,04-30
116,000719,大地传媒,,,2.19,,,35.96,-84.44,,04-30
117,600997,开滦股份,,,4.2,,,9395.5,,,04-30
118,600225,*ST松江,,,1.76,,,61.25,-69.57,,04-30
119,600280,中央商场,,,4.55,,,1761.3,0.12,,04-30
120,002028,思源电气,,,7.21,,,912.47,,,04-30
121,600508,上海能源,,,5.03,,,12855.53,75.71,,04-30
122,600869,智慧能源,,,1.08,,,296.69,863.26,,04-30
123,600248,延长化建,,,3.26,,,-227.59,-50.83,,04-30
124,600641,万业企业,,,4.52,,,401.34,192.04,,04-30
125,000100,TCL集团,,,1.98,,,-32723.34,-232.17,,04-30
126,600305,恒顺醋业,,,3.18,,,535.95,8.33,,04-30
