,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603609,禾丰牧业,,,,,,1637.74,,,07-18
1,300391,康跃科技,0.13,,,3.65,,640.55,,,07-15
2,603100,川仪股份,0.07,,,,,1999.11,,,07-15
3,300390,天华超净,,,,,,800.24,,,07-15
4,603099,长白山,,,,,,-1161.99,,,07-15
5,300384,三联虹普,0.16,,,,,650.14,,,07-15
6,300389,艾比森,0.33,,,7.95,,2100.33,,,07-15
7,603126,中材节能,,,,,,1745.82,,,07-15
8,601579,会稽山,,,,,,5869.03,-0.31,,07-15
9,002728,特一药业,,,,,,2209.33,,,07-15
10,603111,康尼机电,,,,,,-512.32,-117.41,,07-15
11,300387,富邦股份,0.24,,,,,1171.39,,,06-16
12,603369,今世缘,,,,,,31212.19,,,06-11
13,603168,莎普爱思,,,,,,2282.97,,,06-11
14,603328,依顿电子,,,,,,7544.42,,,06-10
15,002726,龙大肉食,0.29,,,,,4801.9,,,06-10
16,300385,雪浪环境,,,,,,871.71,,,06-10
17,603006,联明股份,,,,,,1721.81,,,06-10
18,603009,北特科技,,,,,,826.34,,,06-10
19,002727,一心堂,0.34,,,7.87,,6604.5,,,06-10
20,300386,飞天诚信,,,,,,3289.73,,,06-10
21,603288,海天味业,0.66,,,12.87,,46896.84,,,04-30
22,603308,应流股份,0.1,,,3.11,,3095.9,,,04-29
23,002721,金一文化,0.17,,,4.77,,2435.83,,,04-29
24,600023,浙能电力,0.13,,,3.53,,100101.28,,,04-29
25,002725,跃岭股份,0.38,,,6.88,,2869.53,,,04-28
26,002712,思美传媒,0.03,,,0.44,,189.73,,,04-28
27,002717,岭南园林,0.23,,,5.18,,1751.24,,,04-28
28,300378,鼎捷软件,-0.2,,,-3.31,-0.58,-1834.92,,,04-28
29,002723,金莱特,0.07,,,1.51,,471.44,,,04-28
30,002716,金贵银业,0.26,,,5.01,,4631.89,,,04-28
31,603026,石大胜华,,,,,,4000.0,,,04-28
32,002722,金轮股份,0.08,,,2.7,,858.51,,,04-28
33,002715,登云股份,0.11,,,2.48,,746.63,,,04-28
34,300369,绿盟科技,-0.4,,,-9.36,-0.88,-3016.84,,,04-26
35,300376,易事特,0.33,,,4.15,-0.63,2564.76,,,04-26
36,300380,安硕信息,0.05,,,1.6,-0.42,305.83,,,04-25
37,002707,众信旅游,0.28,,,6.92,,1439.18,,,04-25
38,002713,东易日盛,-0.64,,,-20.47,,-6447.73,,,04-25
39,300373,扬杰科技,0.29,,,6.85,0.07,2023.77,,,04-25
40,300359,全通教育,0.12,,,3.67,0.03,691.33,,,04-25
41,300379,东方通,-0.28,,,-8.34,-0.24,-1253.87,,,04-25
42,603005,晶方科技,0.17,,,4.97,,3195.32,,,04-25
43,002705,新宝股份,0.06,,,1.8,,2146.24,,,04-25
44,300383,光环新网,0.3,,,5.3,0.14,1367.61,,,04-25
