,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,601857,中国石油,,,,,,3861900.0,,,09-03
1,601688,华泰证券,,,,,,-1281.61,,,07-20
2,000100,TCL集团,,,1.23,,-0.33,28017.0,,,01-05
3,600249,两面针,,,4.15,4.38,,1600.17,,,12-29
4,600354,敦煌种业,,,2.32,6.46,,1586.63,,,12-24
5,600540,*ST新赛,,,2.2,3.5,0.03,768.88,,,12-16
6,600446,金证股份,,,1.49,13.28,-0.18,983.64,,,12-04
7,600570,恒生电子,,,1.99,10.39,-0.33,1222.65,,,11-26
8,600527,江南高纤,,,1.83,12.07,0.61,1046.61,,,11-07
9,600900,长江电力,,,1.55,3.58,0.07,30566.19,,,10-28
10,600477,杭萧钢构,,,2.66,26.79,,3294.9,,,10-21
11,600184,光电股份,,,2.23,9.23,0.1,786.2,,,10-17
12,600021,上海电力,,,3.48,5.65,0.89,26322.12,,,10-09
13,600406,国电南瑞,,,2.47,10.67,0.31,1727.88,,,09-19
14,600517,置信电气,,,1.49,8.21,0.2,641.49,,,09-15
15,600159,大龙地产,,,-0.09,,,-1950.26,-67.62,,09-12
16,600403,*ST大有,,,1.25,10.1,0.2,492.23,,,09-12
17,600507,方大特钢,,,2.34,14.69,0.2,2398.87,7.53,,09-11
18,000988,华工科技,,,2.77,3.32,,2052.56,20.57,,08-30
19,600823,世茂股份,,,2.02,0.99,,471.71,-3.4,,08-30
20,000835,长城动漫,,,1.66,2.14,,381.99,-44.14,,08-30
21,600811,东方集团,,,4.25,2.08,,5496.32,-29.25,,08-30
22,600139,西部资源,,,0.76,-33.96,,-2241.98,20.29,,08-30
23,600271,航天信息,,,5.99,64.39,,32615.62,,,08-30
24,000665,湖北广电,,,2.83,0.26,,105.53,-79.06,,08-30
25,600221,海南航空,,,1.96,,,-98063.77,-1826.11,,08-30
26,600751,天海投资,,,2.19,,,513.53,-1.09,,08-30
27,600393,粤泰股份,,,2.08,-9.17,,-4006.21,-525.7,,08-30
28,600839,四川长虹,,,6.03,,,11697.03,6.17,,08-30
29,000587,金洲慈航,,,1.86,-7.23,,-2641.26,-4625.35,,08-30
30,600757,长江传媒,,,2.68,1.6,,2043.27,-27.63,,08-30
31,600891,秋林集团,,,1.6,-4.14,,-1614.24,-0.98,,08-30
32,600838,上海九百,,,1.5,,,556.53,-32.55,,08-30
33,600615,丰华股份,,,2.46,-7.39,,-2844.03,164.01,,08-30
34,600673,东阳光科,,,1.49,3.95,,506.26,363.07,,08-30
35,600603,广汇物流,,,-3.27,,,-1346.53,-48.99,,08-30
36,000403,ST生化,,,3.45,,,2271.34,-32.98,,08-30
37,000999,华润三九,,,2.86,3.51,,9656.15,12.79,,08-30
38,000592,平潭发展,,,0.81,-3.87,,-947.02,-1648.93,,08-30
39,600779,水井坊,,,2.26,-6.8,,-7775.19,-292.07,,08-30
40,600749,西藏旅游,,,0.85,,,-462.14,24.98,,08-30
41,600767,*ST运盛,,,1.81,,,333.18,-39.51,,08-30
42,600651,飞乐音响,,,1.63,2.54,,1736.99,1.49,,08-30
43,600738,兰州民百,,,0.95,,,-1480.15,55.12,,08-30
44,600547,山东黄金,,,2.31,10.88,,2388.3,104.12,,08-30
45,600743,华远地产,,,0.02,,,166.93,2.65,,08-30
46,600830,香溢融通,,,2.96,2.99,,1522.09,10.09,10转5,08-30
47,600698,湖南天雁,,,-1.51,,0.14,1613.83,32908.43,,08-30
48,000007,全新好,,,1.56,4.82,,1020.96,-38.99,,08-30
49,600613,神奇制药,,,0.88,,,-999.97,-41.31,,08-30
50,600565,迪马股份,,,4.86,2.32,,889.99,-63.26,,08-30
51,000836,鑫茂科技,,,7.64,-5.99,,-5611.32,-362.12,,08-30
