,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002247,帝龙文化,0.38,,,,,1797.66,,,10-30
1,601857,中国石油,0.59,,,,,10489600.0,,,10-30
2,002245,澳洋顺昌,0.59,,,,,2648.86,,,10-30
3,002226,江南化工,0.39,,,,,1552.89,,,10-29
4,601999,出版传媒,0.14,,,,,5585.87,,,10-29
5,002239,奥特佳,0.43,,,,,4348.12,,,10-29
6,002229,鸿博股份,0.61,,,,,3639.82,,,10-29
7,002259,升达林业,0.14,,,,,2247.72,,,10-29
8,601918,新集能源,0.22,,,,,32498.4,,,10-29
9,601088,中国神华,0.83,,,,,1492100.0,,,10-29
10,002227,奥特迅,0.3,,,,,2394.11,,,10-29
11,002254,泰和新材,2.78,,,,,26010.56,,,10-28
12,002272,川润股份,0.48,,,,,3342.6,,,10-28
13,002243,通产丽星,0.28,,,,,3441.06,,,10-28
14,002267,陕天然气,0.44,,,,,17774.01,,,10-28
15,002234,民和股份,0.81,,,,,6489.5,,,10-28
16,002263,大东南,0.19,,,,,3522.02,,,10-27
17,002271,东方雨虹,0.88,,,,,2176.06,,,10-27
18,601601,中国太保,0.96,,,,,574900.0,,,10-27
19,002249,大洋电机,1.33,,,,,12459.26,,,10-27
20,601898,中煤能源,0.36,,,,,424356.8,,,10-25
21,601899,紫金矿业,0.14,,,,,181057.0,,,10-25
22,002241,歌尔股份,0.54,,,,,4864.88,,,10-24
23,002217,合力泰,0.26,,,,,3567.25,,,10-24
24,002240,威华股份,0.54,,,,,13564.54,,,10-24
25,002244,滨江集团,0.34,,,,,30066.3,,,10-24
26,002258,利尔化学,0.88,,,,,8902.5,,,10-24
27,002248,*ST东数,0.29,,,,,2566.37,,,10-24
28,002273,水晶光电,0.54,,,,,2680.5,,,10-23
29,002246,北化股份,0.17,,,,,2558.17,,,10-23
30,002253,川大智胜,0.15,,,,,516.09,,,10-23
31,002270,华明装备,0.31,,,,,3394.46,,,10-22
32,002235,安妮股份,0.38,,,,,2782.18,,,10-22
33,002256,兆新股份,0.47,,,,,3024.57,,,10-22
34,002220,天宝股份,0.63,,,,,3279.34,,,10-21
35,002233,塔牌集团,0.36,,,,,10675.41,,,10-21
36,002228,合兴包装,0.33,,,,,2335.18,,,10-21
37,002250,联化科技,0.49,,,,,4751.22,,,10-20
38,002260,德奥通航,0.18,,,,,1595.56,,,10-16
39,002237,恒邦股份,0.93,,,,,6643.87,,,10-16
40,002224,三力士,0.28,,,,,1554.88,,,10-15
41,002261,拓维信息,0.82,,,37.24,,4891.02,,,07-04
42,002231,奥维通信,0.2,,1.57,13.62,-0.09,1603.75,,,04-17
43,002225,濮耐股份,0.16,,1.11,15.16,0.04,5417.56,,,04-07
44,601958,金钼股份,1.08,,1.48,77.36,0.98,233251.15,,,03-27
45,002222,福晶科技,0.36,,1.5,25.78,0.35,5119.93,,,02-26
46,002221,东华能源,0.12,,1.12,11.12,0.32,1960.03,,,02-14
47,002213,特尔佳,0.18,63.64,1.23,,0.17,1352.79,56.41,,01-31
48,002209,达意隆,0.24,26.32,1.96,,0.36,2055.8,29.04,,01-29
49,002210,飞马国际,0.35,30.74,1.43,,-0.42,3564.1,30.2,,01-29
