,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300058,蓝色光标,0.62,,,,,3667.58,,,02-25
1,300057,万顺股份,0.3,,,,,4815.7,,,02-25
2,300052,中青宝,0.28,,,,,2115.42,,,02-10
3,300051,三五互联,0.48,,,,,1904.58,,,02-10
4,002358,森源电气,0.32,,,,,2061.13,,,02-09
5,002357,富临运业,,,,,,1900.17,,,02-09
6,002359,齐星铁塔,0.33,,,,,2689.3,,,02-09
7,002356,赫美集团,0.26,,,,,1569.24,,,02-08
8,002355,兴民智通,0.29,,,,,4537.31,,,02-08
9,002351,漫步者,0.43,,,,,4798.5,,,02-04
10,002353,杰瑞股份,0.62,,,,,5327.79,,,02-04
11,002352,顺丰控股,0.49,,,,,2872.15,,,02-04
12,002350,北京科锐,0.3,,,,,2371.41,,,02-02
13,002349,精华制药,0.37,,,,,2222.74,,,02-02
14,002348,高乐股份,0.48,,,,,3018.61,,,02-02
15,002346,柘中股份,0.41,,,,,4072.25,,,01-27
16,002345,潮宏基,0.45,,,,,4040.89,,,01-27
17,002347,泰尔股份,,,,,,4323.27,,,01-27
18,002344,海宁皮城,0.27,,,,,5637.43,,,01-25
19,002343,慈文传媒,0.49,,,,,3663.84,,,01-25
20,002342,巨力索具,0.34,,,,,11962.5,,,01-25
21,002341,新纶科技,0.44,,,,,2382.29,,,01-21
22,002340,格林美,0.49,,,,,3408.9,,,01-21
23,002339,积成电子,0.11,,,,,734.12,,,01-21
24,300045,华力创通,0.31,,,,0.22,1557.3,,,01-19
25,300049,福瑞股份,0.26,,,,,1447.77,,,01-19
26,300046,台基股份,0.68,,,,,2837.95,,,01-19
27,002338,奥普光电,0.38,,,,,2304.96,,,01-14
28,002337,赛象科技,1.01,,,,,9065.16,,,01-14
29,002335,科华恒盛,0.46,,,,,2695.31,,,01-12
30,002334,英威腾,,,,,,3130.58,,,01-12
31,002336,人人乐,0.57,,,,,17173.99,,,01-12
